Stock_X,Stock_Y,Intercept,Slope,P-Value from ADF test,std_error_of_residuals,latest_residual,std_err_zscore
PNB,PFC,75.4091927941139,0.4514987991228827,0.026595720888829683,12.62,6.0627766983832885,0.48
SRTRANSFIN,PFC,59.6142381145213,0.04317838453753042,0.0451201735361963,12.3,5.219665234102067,0.42
AXISBANK,PFC,43.10881966558197,0.09511000847858922,0.016110209783748625,8.52,6.661164017120399,0.78
GICRE,PFC,92.33638276153916,0.04975676521834289,0.049412897504222085,14.95,-1.8287786642949584,-0.12
MUTHOOTFIN,PFC,111.46658814544045,-0.011801231652854786,0.045136730969832756,15.03,0.9946102454519092,0.07
BAJFINANCE,KOTAKBANK,684.9896996504833,0.22435870351144988,0.00012331900486046017,58.92,-41.46562850031364,-0.7
SBILIFE,KOTAKBANK,651.2644428809477,0.9936623400094386,0.028271018420575302,102.25,-30.317608515985285,-0.3
SBILIFE,HDFCLIFE,34.96645215350034,0.602957472995798,0.014846872386715906,26.95,40.93511171692785,1.52
SBILIFE,ICICIGI,222.09790097284994,1.2049394208180328,0.013952022246563544,82.91,35.73593522955434,0.43
PNB,SRTRANSFIN,441.8298556892803,9.228058961397318,0.015235578881628091,113.97,-10.97944020905095,-0.1
AXISBANK,SRTRANSFIN,167.5073645702388,1.3347134741051576,0.009105810609969183,109.84,-74.39346558458499,-0.68
GICRE,SRTRANSFIN,398.94219453495003,2.773986910237986,0.030376152378760412,124.66,-55.05057085774263,-0.44
MUTHOOTFIN,SRTRANSFIN,1424.4870347876526,-0.5983550525586707,0.01564257552918696,164.02,71.34512847687301,0.43
HDFCLIFE,ICICIGI,206.8656883485089,1.8859797666087994,0.010455448169843883,86.76,-34.46786379940477,-0.4
BOSCHLTD,MARUTI,3252.478623614392,0.21930905140681872,0.0374358040187024,480.72,779.6169424468844,1.62
TATAMOTORS,MARUTI,4118.46318388503,16.45845418263563,0.007813922143815691,429.3,635.3695588346018,1.48
M&M,MARUTI,3537.0038115236594,5.172735362469172,0.03595617421812618,487.82,301.0310806133057,0.62
TATAMOTORS,EICHERMOT,10380.378828519035,60.52510772936094,0.029213398620961187,2406.35,-16809.76421227178,-6.99
M&M,HEROMOTOCO,1207.537950010743,2.295075516232088,0.04533061092065952,155.02,402.6513690403167,2.6
ONGC,IOC,29.58262180201918,0.7522704117860981,0.002923900945006053,7.21,-2.2275493890321627,-0.31
BPCL,PETRONET,135.98008851036963,0.2747171185757319,0.00175520049785138,12.21,-0.7514285752271519,-0.06
GAIL,PETRONET,260.9899515576966,-0.08865205917543001,0.04164841635124964,19.06,-2.9545324934114774,-0.16
BHARTIARTL,INFRATEL,364.39684030600523,-0.28725438396501946,0.00804930269324613,28.05,-12.533533019515772,-0.45
JSWSTEEL,TATASTEEL,30.94206114001126,1.5601772327084562,0.029551069471112402,28.83,-44.683810361274936,-1.55
TATASTEEL,HINDZINC,57.497511189332215,0.3883514229444195,0.044370124724443634,18.09,6.463815197645033,0.36
WIPRO,OFSS,722.7076565720533,8.998458437204324,0.0006782405352560366,235.43,-128.58827441348967,-0.55
NAUKRI,TCS,1785.0853964811515,0.12906627220780814,0.011223208444747204,123.45,15.936394047989324,0.13
NAUKRI,OFSS,4422.316635910993,-0.5804417197371796,0.020926734947139296,399.65,587.5017719120592,1.47
INFY,TCS,1340.4340040327745,0.9845380063788862,0.04154663998899821,110.58,-22.67317449862776,-0.21
HCLTECH,OFSS,1789.864323312037,1.551556705316164,0.04132391454700472,326.94,156.1884422173589,0.48
