Date,Residuals
2018-08-31,-20.458992670306017
2018-09-03,-18.449323022354633
2018-09-04,-22.60042310714053
2018-09-05,-20.155716571954386
2018-09-06,-16.758027076617623
2018-09-07,-17.757085638935237
2018-09-10,-16.746767691502498
2018-09-11,-23.74459167793674
2018-09-12,-21.1964745533015
2018-09-14,-18.736829061356147
2018-09-17,-17.492929472754895
2018-09-18,-18.84277082565137
2018-09-19,-17.561792827347077
2018-09-21,-19.298736745952638
2018-09-24,-20.872783230267245
2018-09-25,-20.689653374403264
2018-09-26,-19.034494400686896
2018-09-27,-21.089091254007286
2018-09-28,-25.335032365076813
2018-10-01,-20.05185419720074
2018-10-03,-17.785522017454653
2018-10-04,-20.467062136154894
2018-10-05,-21.328859485659947
2018-10-08,-21.842294884340788
2018-10-09,-21.540387852970014
2018-10-10,-21.647636661166743
2018-10-11,-23.103468090370512
2018-10-12,-20.038663624708803
2018-10-15,-15.894495053912578
2018-10-16,-16.664348158199232
2018-10-17,-17.846940049673293
2018-10-19,-14.61295493521233
2018-10-22,-15.515399930973032
2018-10-23,-15.031976936908052
2018-10-24,-13.510375448354154
2018-10-25,-12.320289922494439
2018-10-26,-9.999471224519397
2018-10-29,-5.307661470398486
2018-10-30,-5.077221436484123
2018-10-31,-3.0008886035123226
2018-11-01,-5.629311270964465
2018-11-02,-7.587746343032478
2018-11-05,-7.745508959613076
2018-11-06,-2.9333943159009976
2018-11-07,-2.5763283108138353
2018-11-09,2.219723135347124
2018-11-12,-0.19779530827025837
2018-11-13,0.684662092106322
2018-11-14,2.5672781395864206
2018-11-15,5.192804025973317
2018-11-16,-0.7080029206115626
2018-11-19,0.624882109063492
2018-11-20,1.3220336400103463
2018-11-21,1.6214715196143743
2018-11-22,-2.208675376098981
2018-11-26,-1.4779905159956854
2018-11-27,-0.7763524668198869
2018-11-28,-10.483149489712076
2018-11-29,-11.211279018963197
2018-11-30,-16.173907471059167
2018-12-03,-5.3835529630045045
2018-12-04,-4.936132449862697
2018-12-05,-9.296719379490412
2018-12-06,-10.129580253159432
2018-12-07,-10.700509286225937
2018-12-10,-14.852257670493174
2018-12-11,-12.529042288769503
2018-12-12,-16.972269421883368
2018-12-13,-15.841425914676549
2018-12-14,-11.400802424426928
2018-12-17,-10.005961398143313
2018-12-18,-5.469958917220126
2018-12-19,-7.586156605868737
2018-12-20,-4.858699532105021
2018-12-21,-4.057868429514087
2018-12-24,-1.1014748799143348
2018-12-26,-2.0294699180679885
2018-12-27,-1.2440054015347357
2018-12-28,2.5426695348758415
2018-12-31,5.282486078540572
2019-01-01,4.628672015799026
2019-01-02,1.9682195772687834
2019-01-03,5.019050679859717
2019-01-04,4.911019081084149
2019-01-07,2.913305429741328
2019-01-08,3.884075815704321
2019-01-09,1.4079636529153987
2019-01-10,1.8594672109937278
2019-01-11,1.0003596834383188
2019-01-14,0.9946627453320076
2019-01-15,2.3615087334619886
2019-01-16,0.7881347046347855
2019-01-17,-0.46500690261936484
2019-01-18,0.9810686995476345
2019-01-21,-0.8099582639944316
2019-01-22,-4.983601275016596
2019-01-23,-4.083601275016591
2019-01-24,-1.4785767923977033
2019-01-25,-3.60874784411709
2019-01-28,-4.779518230080072
2019-01-29,-5.402757767809803
2019-01-30,-8.2250800238632
2019-01-31,-8.294822793058401
2019-02-01,-7.076473246850085
2019-02-04,-10.685580774405494
2019-02-05,-11.791570850712802
2019-02-06,-10.634908318918093
2019-02-07,-7.4033923562238755
2019-02-08,-10.63095976507904
2019-02-11,-11.217769192587113
2019-02-12,-10.468441648074531
2019-02-13,-8.898050579397946
2019-02-14,-8.36027555820148
2019-02-15,-5.211351486981329
2019-02-18,-5.498588543787875
2019-02-19,-1.5748110416682266
2019-02-20,-0.9191141035619381
2019-02-21,1.030482423145628
2019-02-22,1.3191988820244802
2019-02-25,1.0622673680347816
2019-02-26,1.3488078133479036
2019-02-27,0.8831722450952526
2019-02-28,1.5558738184350602
2019-03-01,3.535910379056972
2019-03-05,3.5658986276667974
2019-03-06,3.004908224746643
2019-03-07,-0.5957883867468183
2019-03-08,-4.06249988377931
2019-03-11,-1.2171208931057436
2019-03-12,-2.9327564613583945
2019-03-13,-2.0500059227808123
2019-03-14,-2.3472919448251446
2019-03-15,-1.124186898192903
2019-03-18,0.2064979619103724
2019-03-19,4.921974883059505
2019-03-20,-0.7882085732757673
2019-03-22,-2.0118515842979434
2019-03-25,5.017647011934045
2019-03-26,3.483392915278131
2019-03-27,2.324150896625241
2019-03-28,0.13879671518341752
2019-03-29,6.066926244434555
2019-04-01,3.9749578432101345
2019-04-02,5.753759827948656
2019-04-03,4.264908877972331
2019-04-04,4.003087372461252
2019-04-05,6.0983318720373205
2019-04-08,4.121167936474606
2019-04-09,4.734199861863033
2019-04-10,4.726730383483428
2019-04-11,4.439920955975353
2019-04-12,5.293845353808351
2019-04-15,5.836510366526241
2019-04-16,2.7518527965778787
2019-04-18,2.2923417957300245
2019-04-22,0.48556892884387537
2019-04-23,1.9495664479207022
2019-04-24,4.287610451312133
2019-04-25,4.32417505263129
2019-04-26,-0.18291510846191272
2019-04-30,-0.4439296673881188
2019-05-02,-0.4648345444485642
2019-05-03,-0.8356290864175833
2019-05-06,-0.19879550290347936
2019-05-07,-3.066179455423395
2019-05-08,-5.36223090158434
2019-05-09,-4.184235863430686
2019-05-10,-4.769431397768969
2019-05-13,-5.538856872757137
2019-05-14,-6.067524366398203
2019-05-15,-4.62349028669945
2019-05-16,-3.465079370637497
2019-05-17,-5.291460515621367
2019-05-20,-0.6728902992301755
