symbol,entry_date,exit_date,expiry_date_curr,expiry_date_near,closing_price_curr,closing_price_near,difference,mean,std,upper_range,lower_range,signal,entry,exit,target,stoploss,pnl,returns
TVSMOTOR,2018-09-26,2018-09-27,2018-09-27,2018-10-25,582.8,571.85,-10.95,-1.08,2.69,5.64,-7.8,Buy Spread,-10.95,-15.0,-6.914999999999999,-12.295,-4.050000000000001,-0.3699
TVSMOTOR,2018-10-01,2018-10-15,2018-10-25,2018-11-29,543.9,535.1,-8.8,-1.2,2.92,6.1,-8.5,Buy Spread,-8.8,-11.250000000000057,-4.420000000000001,-10.260000000000002,-2.450000000000056,-0.2784
TVSMOTOR,2018-10-17,2018-10-19,2018-10-25,2018-11-29,529.7,518.3,-11.4,-1.66,3.4,6.84,-10.16,Buy Spread,-11.4,-14.050000000000011,-6.300000000000002,-13.1,-2.650000000000011,-0.2325
TVSMOTOR,2018-10-22,2018-10-23,2018-10-25,2018-11-29,514.55,499.65,-14.9,-1.79,3.63,7.28,-10.86,Buy Spread,-14.9,-9.049999999999955,-9.455,-16.715,5.850000000000046,0.3926
TVSMOTOR,2019-10-07,2019-10-09,2019-10-31,2019-11-28,384.95,370.5,-14.45,-2.38,2.95,5.0,-9.75,Buy Spread,-14.45,-6.5,-10.025,-15.925,7.949999999999999,0.5502
TVSMOTOR,2019-10-25,2019-10-30,2019-10-31,2019-11-28,461.95,449.55,-12.4,-2.55,3.08,5.15,-10.25,Buy Spread,-12.4,-14.950000000000045,-7.78,-13.94,-2.550000000000045,-0.2056
TVSMOTOR,2019-12-06,2019-12-12,2019-12-26,2020-01-30,439.15,427.0,-12.15,-3.03,3.56,5.87,-11.93,Buy Spread,-12.15,-6.25,-6.8100000000000005,-13.93,5.9,0.4856
TVSMOTOR,2020-03-03,2020-03-04,2020-03-26,2020-04-30,420.45,400.85,-19.6,-3.55,3.76,5.85,-12.95,Buy Spread,-19.6,-5.900000000000034,-13.96,-21.48,13.699999999999967,0.699
TVSMOTOR,2020-03-23,2020-03-24,2020-03-26,2020-04-30,324.35,309.35,-15.0,-3.66,3.81,5.86,-13.18,Buy Spread,-15.0,-36.650000000000034,-9.285,-16.905,-21.650000000000034,-1.4433
TVSMOTOR,2020-03-25,2020-03-26,2020-03-26,2020-04-30,337.1,304.15,-32.95,-3.78,4.27,6.9,-14.45,Buy Spread,-32.95,-6.849999999999966,-26.545,-35.085,26.100000000000037,0.7921
TVSMOTOR,2020-04-01,2020-04-03,2020-04-30,2020-05-28,274.65,446.0,171.35,-3.45,8.77,18.47,-25.37,Sell Spread,171.35,193.3,158.195,175.735,-21.950000000000017,-0.1281
BAJFINANCE,2018-07-25,2018-07-26,2018-07-26,2018-08-30,2707.55,2723.85,16.3,8.38,2.29,14.1,2.66,Sell Spread,16.3,22.800000000000182,12.865,17.445,-6.500000000000181,-0.3988
BAJFINANCE,2018-08-01,2018-08-03,2018-08-30,2018-09-27,2737.85,2753.8,15.95,8.53,2.65,15.16,1.9,Sell Spread,15.95,10.900000000000091,11.975,17.275,5.049999999999908,0.3166
BAJFINANCE,2018-08-23,2018-08-30,2018-08-30,2018-09-27,2900.35,2916.3,15.95,8.89,2.8,15.89,1.89,Sell Spread,15.95,22.200000000000273,11.75,17.349999999999998,-6.250000000000274,-0.3918
BAJFINANCE,2018-09-06,2018-09-10,2018-09-27,2018-10-25,2700.25,2718.15,17.9,9.23,3.15,17.1,1.36,Sell Spread,17.9,11.349999999999909,13.175,19.475,6.5500000000000895,0.3659
BAJFINANCE,2018-10-23,2018-10-24,2018-10-25,2018-11-29,2086.6,2104.6,18.0,9.73,3.28,17.93,1.53,Sell Spread,18.0,10.299999999999727,13.08,19.64,7.700000000000273,0.4278
BAJFINANCE,2019-03-27,2019-03-28,2019-03-28,2019-04-25,2948.6,2968.95,20.35,10.47,3.13,18.3,2.65,Sell Spread,20.35,18.25,15.655,21.915000000000006,2.1000000000000014,0.1032
BAJFINANCE,2019-04-01,2019-04-03,2019-04-25,2019-05-30,3025.0,3047.35,22.35,10.54,3.23,18.61,2.46,Sell Spread,22.35,15.650000000000091,17.505000000000006,23.965,6.6999999999999105,0.2998
BAJFINANCE,2019-04-04,2019-04-23,2019-04-25,2019-05-30,3060.35,3082.7,22.35,10.62,3.32,18.92,2.32,Sell Spread,22.35,24.200000000000273,17.37,24.01,-1.8500000000002714,-0.0828
BAJFINANCE,2019-04-24,2019-04-25,2019-04-25,2019-05-30,3095.2,3120.45,25.25,11.01,3.81,20.54,1.48,Sell Spread,25.25,25.40000000000009,19.535,27.155,-0.15000000000009095,-0.0059
BAJFINANCE,2020-03-03,2020-03-12,2020-03-26,2020-04-30,4457.25,4484.1,26.85,13.21,4.72,25.01,1.41,Sell Spread,26.85,17.800000000000182,19.770000000000003,29.21,9.04999999999982,0.3371
BAJFINANCE,2020-05-26,2020-05-28,2020-05-28,2020-06-25,1832.3,1831.3,-1.0,12.91,4.98,25.36,0.46,Buy Spread,-1.0,-1.7000000000000455,6.4700000000000015,-3.49,-0.7000000000000455,-0.7
BAJFINANCE,2020-06-15,2020-06-25,2020-06-25,2020-07-30,2339.45,2337.55,-1.9,12.69,5.14,25.54,-0.16,Buy Spread,-1.9,-12.949999999999818,5.809999999999999,-4.47,-11.049999999999818,-5.8158
BAJFINANCE,2020-07-01,2020-07-16,2020-07-30,2020-08-27,2958.65,2954.9,-3.75,12.46,5.46,26.11,-1.19,Buy Spread,-3.75,4.800000000000182,4.44,-6.48,8.550000000000182,2.28
ULTRACEMCO,2018-08-01,2018-08-02,2018-08-30,2018-09-27,4208.55,4190.85,-17.7,14.93,8.51,36.2,-6.34,Buy Spread,-17.7,10.149999999999636,-4.934999999999999,-21.955,27.849999999999635,1.5734
ULTRACEMCO,2019-01-01,2019-01-02,2019-01-31,2019-02-28,4031.8,4000.0,-31.8,14.7,8.28,35.4,-6.0,Buy Spread,-31.8,17.350000000000364,-19.380000000000006,-35.94,49.15000000000037,1.5456
ULTRACEMCO,2020-02-01,2020-02-03,2020-02-27,2020-03-26,4270.25,4254.45,-15.8,16.86,7.39,35.33,-1.61,Buy Spread,-15.8,9.650000000000546,-4.715000000000002,-19.495,25.450000000000546,1.6108
ULTRACEMCO,2020-03-03,2020-03-04,2020-03-26,2020-04-30,4299.25,4339.3,40.05,16.83,7.36,35.23,-1.57,Sell Spread,40.05,18.150000000000546,29.01,43.73,21.89999999999945,0.5468
ULTRACEMCO,2020-03-11,2020-03-12,2020-03-26,2020-04-30,4002.75,4055.0,52.25,16.91,7.5,35.66,-1.84,Sell Spread,52.25,17.300000000000182,41.0,56.0,34.94999999999982,0.6689
ULTRACEMCO,2020-03-16,2020-03-17,2020-03-26,2020-04-30,3498.35,3490.2,-8.15,16.87,7.56,35.77,-2.03,Buy Spread,-8.15,16.049999999999727,3.1899999999999995,-11.93,24.199999999999726,2.9693
ULTRACEMCO,2020-04-09,2020-04-13,2020-04-30,2020-05-28,3363.05,3355.0,-8.05,16.88,7.71,36.16,-2.39,Buy Spread,-8.05,5.450000000000273,3.514999999999999,-11.905,13.500000000000274,1.677
ULTRACEMCO,2020-05-08,2020-05-11,2020-05-28,2020-06-25,3314.1,3310.15,-3.95,16.72,7.78,36.17,-2.73,Buy Spread,-3.95,10.099999999999909,7.72,-7.84,14.049999999999908,3.557
