symbol,date,expiry_date_curr,expiry_date_near,closing_price_curr,closing_price_near,difference,mean,std,upper_range,lower_range,signal,entry,target,stoploss
IDEA,2020-07-17,2020-07-30,2020-08-27,8.85,7.85,-1.0,0.08,0.4,1.08,-0.92,Buy Spread,-1.0,-0.3999999999999999,-1.2
PNB,2020-07-17,2020-07-30,2020-08-27,33.45,32.35,-1.1,0.35,0.33,1.18,-0.48,Buy Spread,-1.1,-0.6050000000000001,-1.2650000000000001
TATASTEEL,2020-07-17,2020-07-30,2020-08-27,351.6,342.4,-9.2,1.13,3.38,9.58,-7.32,Buy Spread,-9.2,-4.129999999999999,-10.889999999999999
HINDALCO,2020-07-16,2020-07-30,2020-08-27,166.1,165.7,-0.4,0.83,0.46,1.98,-0.32,Buy Spread,-0.4,0.29000000000000004,-0.63
MINDTREE,2020-07-16,2020-07-30,2020-08-27,1004.95,964.8,-40.15,-1.89,10.23,23.68,-27.47,Buy Spread,-40.15,-24.805,-45.265
PNB,2020-07-16,2020-07-30,2020-08-27,33.15,32.35,-0.8,0.36,0.33,1.18,-0.47,Buy Spread,-0.8,-0.30500000000000005,-0.9650000000000001
TATASTEEL,2020-07-16,2020-07-30,2020-08-27,342.65,333.25,-9.4,1.15,3.36,9.55,-7.25,Buy Spread,-9.4,-4.36,-11.08
TITAN,2020-07-16,2020-07-30,2020-08-27,962.15,960.25,-1.9,4.19,2.26,9.84,-1.46,Buy Spread,-1.9,1.4899999999999998,-3.03
HINDALCO,2020-07-15,2020-07-30,2020-08-27,165.4,165.0,-0.4,0.83,0.46,1.98,-0.32,Buy Spread,-0.4,0.29000000000000004,-0.63
TATASTEEL,2020-07-15,2020-07-30,2020-08-27,339.8,330.9,-8.9,1.16,3.33,9.48,-7.16,Buy Spread,-8.9,-3.9050000000000002,-10.565000000000001
TATASTEEL,2020-07-14,2020-07-30,2020-08-27,337.5,328.65,-8.85,1.18,3.31,9.46,-7.1,Buy Spread,-8.85,-3.885,-10.504999999999999
TITAN,2020-07-14,2020-07-30,2020-08-27,975.4,973.45,-1.95,4.21,2.24,9.81,-1.39,Buy Spread,-1.95,1.4100000000000004,-3.0700000000000003
TATASTEEL,2020-07-13,2020-07-30,2020-08-27,343.5,334.7,-8.8,1.2,3.28,9.4,-7.0,Buy Spread,-8.8,-3.880000000000001,-10.440000000000001
