symbol,date,expiry_date_curr,expiry_date_near,closing_price_curr,closing_price_near,difference,mean,std,upper_range,lower_range,signal,entry,target,stoploss
HINDALCO,2020-07-10,2020-07-30,2020-08-27,164.35,163.7,-0.65,0.83,0.45,1.96,-0.3,Buy Spread,-0.65,0.025000000000000022,-0.875
TATASTEEL,2020-07-10,2020-07-30,2020-08-27,340.0,331.15,-8.85,1.22,3.26,9.37,-6.93,Buy Spread,-8.85,-3.96,-10.48
TATASTEEL,2020-07-09,2020-07-30,2020-08-27,345.85,336.75,-9.1,1.23,3.24,9.33,-6.87,Buy Spread,-9.1,-4.239999999999999,-10.719999999999999
TITAN,2020-07-09,2020-07-30,2020-08-27,996.25,994.35,-1.9,4.24,2.22,9.79,-1.31,Buy Spread,-1.9,1.4300000000000002,-3.01
HINDALCO,2020-07-08,2020-07-30,2020-08-27,155.55,155.2,-0.35,0.84,0.45,1.96,-0.29,Buy Spread,-0.35,0.32500000000000007,-0.575
TATASTEEL,2020-07-08,2020-07-30,2020-08-27,335.45,326.45,-9.0,1.25,3.21,9.28,-6.78,Buy Spread,-9.0,-4.1850000000000005,-10.605
TITAN,2020-07-08,2020-07-30,2020-08-27,995.15,993.55,-1.6,4.25,2.2,9.75,-1.25,Buy Spread,-1.6,1.7000000000000002,-2.7
HINDALCO,2020-07-07,2020-07-30,2020-08-27,152.45,151.75,-0.7,0.84,0.45,1.96,-0.29,Buy Spread,-0.7,-0.02499999999999991,-0.9249999999999999
IDEA,2020-07-07,2020-07-30,2020-08-27,9.55,10.75,1.2,0.08,0.4,1.08,-0.92,Sell Spread,1.2,0.5999999999999999,1.4
TATASTEEL,2020-07-07,2020-07-30,2020-08-27,331.15,322.3,-8.85,1.27,3.19,9.24,-6.7,Buy Spread,-8.85,-4.0649999999999995,-10.445
TITAN,2020-07-07,2020-07-30,2020-08-27,1015.75,1011.6,-4.15,4.26,2.19,9.74,-1.21,Buy Spread,-4.15,-0.8650000000000002,-5.245
HINDALCO,2020-07-06,2020-07-30,2020-08-27,155.0,154.2,-0.8,0.84,0.44,1.94,-0.26,Buy Spread,-0.8,-0.14,-1.02
TITAN,2020-07-06,2020-07-30,2020-08-27,1014.5,1011.95,-2.55,4.27,2.17,9.7,-1.16,Buy Spread,-2.55,0.7050000000000001,-3.635
HINDALCO,2020-07-03,2020-07-30,2020-08-27,146.25,145.65,-0.6,0.84,0.44,1.94,-0.26,Buy Spread,-0.6,0.06000000000000005,-0.82
TITAN,2020-07-03,2020-07-30,2020-08-27,1004.6,1003.25,-1.35,4.28,2.15,9.66,-1.09,Buy Spread,-1.35,1.8749999999999996,-2.425
BAJFINANCE,2020-07-02,2020-07-30,2020-08-27,2957.4,2951.45,-5.95,12.43,5.51,26.2,-1.34,Buy Spread,-5.95,2.3150000000000004,-8.705
HINDALCO,2020-07-02,2020-07-30,2020-08-27,148.25,147.95,-0.3,0.85,0.43,1.92,-0.22,Buy Spread,-0.3,0.34500000000000003,-0.515
TITAN,2020-07-02,2020-07-30,2020-08-27,989.85,986.7,-3.15,4.29,2.14,9.64,-1.06,Buy Spread,-3.15,0.06000000000000005,-4.22
BAJFINANCE,2020-07-01,2020-07-30,2020-08-27,2958.65,2954.9,-3.75,12.46,5.46,26.11,-1.19,Buy Spread,-3.75,4.4399999999999995,-6.48
HINDALCO,2020-07-01,2020-07-30,2020-08-27,148.0,147.75,-0.25,0.85,0.43,1.92,-0.22,Buy Spread,-0.25,0.395,-0.46499999999999997
KOTAKBANK,2020-07-01,2020-07-30,2020-08-27,1352.95,1345.7,-7.25,4.22,3.8,13.72,-5.28,Buy Spread,-7.25,-1.5500000000000007,-9.15
LUPIN,2020-07-01,2020-07-30,2020-08-27,899.95,896.45,-3.5,3.05,2.04,8.15,-2.05,Buy Spread,-3.5,-0.43999999999999995,-4.52
TITAN,2020-07-01,2020-07-30,2020-08-27,950.95,948.75,-2.2,4.31,2.12,9.61,-0.99,Buy Spread,-2.2,0.98,-3.2600000000000002
BAJFINANCE,2020-06-24,2020-06-25,2020-07-30,2921.4,2917.85,-3.55,12.53,5.32,25.83,-0.77,Buy Spread,-3.55,4.430000000000001,-6.21
HDFC,2020-06-24,2020-06-25,2020-07-30,1802.2,1785.6,-16.6,7.62,6.36,23.52,-8.28,Buy Spread,-16.6,-7.0600000000000005,-19.78
LUPIN,2020-06-24,2020-06-25,2020-07-30,921.1,917.6,-3.5,3.07,2.01,8.09,-1.95,Buy Spread,-3.5,-0.4850000000000003,-4.505
RELIANCE,2020-06-24,2020-06-25,2020-07-30,1730.85,1729.25,-1.6,4.89,2.39,10.86,-1.09,Buy Spread,-1.6,1.9849999999999999,-2.795
BAJFINANCE,2020-06-23,2020-06-25,2020-07-30,3012.4,3011.1,-1.3,12.56,5.28,25.76,-0.64,Buy Spread,-1.3,6.62,-3.9400000000000004
HDFC,2020-06-23,2020-06-25,2020-07-30,1842.95,1824.7,-18.25,7.66,6.28,23.36,-8.04,Buy Spread,-18.25,-8.83,-21.39
LUPIN,2020-06-23,2020-06-25,2020-07-30,938.45,936.1,-2.35,3.09,1.99,8.06,-1.88,Buy Spread,-2.35,0.6349999999999998,-3.345
RELIANCE,2020-06-23,2020-06-25,2020-07-30,1726.4,1722.9,-3.5,4.9,2.38,10.85,-1.05,Buy Spread,-3.5,0.06999999999999984,-4.6899999999999995
TATASTEEL,2020-06-23,2020-06-25,2020-07-30,332.15,325.6,-6.55,1.34,3.13,9.16,-6.48,Buy Spread,-6.55,-1.8549999999999995,-8.115
HDFC,2020-06-22,2020-06-25,2020-07-30,1816.25,1798.25,-18.0,7.71,6.19,23.18,-7.77,Buy Spread,-18.0,-8.715,-21.095
LUPIN,2020-06-22,2020-06-25,2020-07-30,937.35,933.8,-3.55,3.1,1.98,8.05,-1.85,Buy Spread,-3.55,-0.5800000000000001,-4.54
RELIANCE,2020-06-22,2020-06-25,2020-07-30,1749.0,1747.3,-1.7,4.91,2.35,10.78,-0.96,Buy Spread,-1.7,1.8250000000000004,-2.875
TATASTEEL,2020-06-22,2020-06-25,2020-07-30,326.5,319.95,-6.55,1.35,3.11,9.12,-6.42,Buy Spread,-6.55,-1.8849999999999998,-8.105
HDFC,2020-06-19,2020-06-25,2020-07-30,1836.65,1817.8,-18.85,7.75,6.1,23.0,-7.5,Buy Spread,-18.85,-9.700000000000003,-21.900000000000002
LUPIN,2020-06-19,2020-06-25,2020-07-30,917.3,913.6,-3.7,3.11,1.97,8.04,-1.82,Buy Spread,-3.7,-0.7450000000000001,-4.6850000000000005
RELIANCE,2020-06-19,2020-06-25,2020-07-30,1760.35,1757.25,-3.1,4.93,2.34,10.78,-0.92,Buy Spread,-3.1,0.4099999999999997,-4.27
TATASTEEL,2020-06-19,2020-06-25,2020-07-30,320.35,313.75,-6.6,1.37,3.1,9.12,-6.38,Buy Spread,-6.6,-1.9499999999999993,-8.15
ULTRACEMCO,2020-06-19,2020-06-25,2020-07-30,3843.9,3836.7,-7.2,16.02,8.36,36.92,-4.88,Buy Spread,-7.2,5.339999999999999,-11.379999999999999
HDFC,2020-06-18,2020-06-25,2020-07-30,1854.35,1836.35,-18.0,7.8,6.01,22.82,-7.22,Buy Spread,-18.0,-8.985,-21.005
ITC,2020-06-18,2020-06-25,2020-07-30,186.95,184.1,-2.85,0.8,1.28,4.0,-2.4,Buy Spread,-2.85,-0.9300000000000002,-3.49
LUPIN,2020-06-18,2020-06-25,2020-07-30,921.25,917.1,-4.15,3.12,1.95,8.0,-1.76,Buy Spread,-4.15,-1.2250000000000005,-5.125
RELIANCE,2020-06-18,2020-06-25,2020-07-30,1654.05,1651.25,-2.8,4.94,2.32,10.74,-0.86,Buy Spread,-2.8,0.6799999999999997,-3.96
ULTRACEMCO,2020-06-18,2020-06-25,2020-07-30,3838.85,3832.7,-6.15,16.06,8.31,36.84,-4.72,Buy Spread,-6.15,6.3149999999999995,-10.305
BAJFINANCE,2020-06-17,2020-06-25,2020-07-30,2396.75,2396.3,-0.45,12.64,5.2,25.64,-0.36,Buy Spread,-0.45,7.3500000000000005,-3.0500000000000003
HDFC,2020-06-17,2020-06-25,2020-07-30,1792.2,1776.85,-15.35,7.85,5.91,22.62,-6.93,Buy Spread,-15.35,-6.484999999999999,-18.305
ITC,2020-06-17,2020-06-25,2020-07-30,181.75,178.6,-3.15,0.81,1.27,3.98,-2.36,Buy Spread,-3.15,-1.2449999999999999,-3.785
LUPIN,2020-06-17,2020-06-25,2020-07-30,930.85,927.45,-3.4,3.13,1.92,7.93,-1.67,Buy Spread,-3.4,-0.52,-4.359999999999999
RELIANCE,2020-06-17,2020-06-25,2020-07-30,1611.7,1609.3,-2.4,4.95,2.3,10.7,-0.8,Buy Spread,-2.4,1.0499999999999998,-3.55
BAJFINANCE,2020-06-16,2020-06-25,2020-07-30,2366.75,2365.3,-1.45,12.67,5.17,25.6,-0.26,Buy Spread,-1.45,6.305,-4.035
HDFC,2020-06-16,2020-06-25,2020-07-30,1820.2,1803.2,-17.0,7.89,5.84,22.49,-6.71,Buy Spread,-17.0,-8.24,-19.92
ITC,2020-06-16,2020-06-25,2020-07-30,185.45,181.75,-3.7,0.82,1.26,3.97,-2.33,Buy Spread,-3.7,-1.81,-4.33
LUPIN,2020-06-16,2020-06-25,2020-07-30,927.45,924.1,-3.35,3.14,1.91,7.91,-1.63,Buy Spread,-3.35,-0.4850000000000003,-4.305
RELIANCE,2020-06-16,2020-06-25,2020-07-30,1615.5,1614.55,-0.95,4.97,2.28,10.67,-0.73,Buy Spread,-0.95,2.4699999999999998,-2.09
AXISBANK,2020-06-15,2020-06-25,2020-07-30,389.5,389.65,0.15,2.89,1.07,5.56,0.21,Buy Spread,0.15,1.755,-0.385
BAJFINANCE,2020-06-15,2020-06-25,2020-07-30,2339.45,2337.55,-1.9,12.69,5.14,25.54,-0.16,Buy Spread,-1.9,5.809999999999999,-4.47
HDFC,2020-06-15,2020-06-25,2020-07-30,1750.85,1735.75,-15.1,7.93,5.75,22.3,-6.44,Buy Spread,-15.1,-6.475,-17.975
ITC,2020-06-15,2020-06-25,2020-07-30,187.65,183.35,-4.3,0.82,1.24,3.92,-2.28,Buy Spread,-4.3,-2.44,-4.92
LUPIN,2020-06-15,2020-06-25,2020-07-30,943.65,939.9,-3.75,3.15,1.89,7.88,-1.57,Buy Spread,-3.75,-0.915,-4.695
RELIANCE,2020-06-15,2020-06-25,2020-07-30,1617.0,1616.0,-1.0,4.98,2.27,10.66,-0.69,Buy Spread,-1.0,2.4050000000000002,-2.135
SBIN,2020-06-15,2020-06-25,2020-07-30,173.7,173.8,0.1,1.27,0.46,2.42,0.12,Buy Spread,0.1,0.79,-0.13
HDFC,2020-06-12,2020-06-25,2020-07-30,1790.25,1774.25,-16.0,7.97,5.67,22.14,-6.21,Buy Spread,-16.0,-7.495000000000001,-18.835
ITC,2020-06-12,2020-06-25,2020-07-30,193.85,188.5,-5.35,0.83,1.23,3.9,-2.24,Buy Spread,-5.35,-3.505,-5.965
LUPIN,2020-06-12,2020-06-25,2020-07-30,914.2,910.95,-3.25,3.17,1.87,7.85,-1.51,Buy Spread,-3.25,-0.44499999999999984,-4.1850000000000005
RELIANCE,2020-06-12,2020-06-25,2020-07-30,1588.95,1588.2,-0.75,4.99,2.25,10.62,-0.63,Buy Spread,-0.75,2.625,-1.875
HDFC,2020-06-11,2020-06-25,2020-07-30,1784.75,1768.2,-16.55,8.01,5.59,21.98,-5.96,Buy Spread,-16.55,-8.165000000000001,-19.345
IDEA,2020-06-11,2020-06-25,2020-07-30,9.4,10.65,1.25,0.07,0.4,1.07,-0.93,Sell Spread,1.25,0.6499999999999999,1.45
ITC,2020-06-11,2020-06-25,2020-07-30,194.4,189.15,-5.25,0.84,1.2,3.84,-2.16,Buy Spread,-5.25,-3.45,-5.85
M&M,2020-06-11,2020-06-25,2020-07-30,474.15,468.1,-6.05,2.56,2.58,9.01,-3.89,Buy Spread,-6.05,-2.1799999999999997,-7.34
HDFC,2020-06-10,2020-06-25,2020-07-30,1809.45,1795.1,-14.35,8.06,5.49,21.79,-5.67,Buy Spread,-14.35,-6.115,-17.095
ITC,2020-06-10,2020-06-25,2020-07-30,199.55,194.5,-5.05,0.86,1.17,3.78,-2.06,Buy Spread,-5.05,-3.295,-5.635
LUPIN,2020-06-10,2020-06-25,2020-07-30,929.1,925.15,-3.95,3.19,1.84,7.79,-1.41,Buy Spread,-3.95,-1.19,-4.87
M&M,2020-06-10,2020-06-25,2020-07-30,471.5,466.1,-5.4,2.58,2.56,8.98,-3.82,Buy Spread,-5.4,-1.5600000000000005,-6.680000000000001
HDFC,2020-06-09,2020-06-25,2020-07-30,1768.05,1753.4,-14.65,8.1,5.42,21.65,-5.45,Buy Spread,-14.65,-6.520000000000001,-17.36
ITC,2020-06-09,2020-06-25,2020-07-30,198.9,193.7,-5.2,0.87,1.15,3.74,-2.0,Buy Spread,-5.2,-3.4750000000000005,-5.775
LUPIN,2020-06-09,2020-06-25,2020-07-30,920.3,918.9,-1.4,3.2,1.82,7.75,-1.35,Buy Spread,-1.4,1.33,-2.31
M&M,2020-06-09,2020-06-25,2020-07-30,478.6,472.6,-6.0,2.59,2.54,8.94,-3.76,Buy Spread,-6.0,-2.19,-7.27
HDFC,2020-06-08,2020-06-25,2020-07-30,1764.35,1749.95,-14.4,8.14,5.34,21.49,-5.21,Buy Spread,-14.4,-6.390000000000001,-17.07
ITC,2020-06-08,2020-06-25,2020-07-30,198.0,193.1,-4.9,0.88,1.12,3.68,-1.92,Buy Spread,-4.9,-3.22,-5.460000000000001
M&M,2020-06-08,2020-06-25,2020-07-30,471.15,465.95,-5.2,2.61,2.51,8.88,-3.66,Buy Spread,-5.2,-1.4350000000000005,-6.455
TITAN,2020-06-08,2020-06-25,2020-07-30,1029.05,1024.9,-4.15,4.39,2.06,9.54,-0.76,Buy Spread,-4.15,-1.0600000000000005,-5.180000000000001
HDFC,2020-06-05,2020-06-25,2020-07-30,1772.3,1758.75,-13.55,8.18,5.25,21.3,-4.94,Buy Spread,-13.55,-5.675000000000001,-16.175
INDIGO,2020-06-05,2020-06-25,2020-07-30,1178.8,1159.3,-19.5,0.2,7.47,18.88,-18.48,Buy Spread,-19.5,-8.295,-23.235
ITC,2020-06-05,2020-06-25,2020-07-30,200.3,195.85,-4.45,0.89,1.09,3.62,-1.84,Buy Spread,-4.45,-2.815,-4.995
LUPIN,2020-06-05,2020-06-25,2020-07-30,905.0,901.05,-3.95,3.21,1.81,7.74,-1.32,Buy Spread,-3.95,-1.2350000000000003,-4.855
M&M,2020-06-05,2020-06-25,2020-07-30,485.35,479.95,-5.4,2.62,2.49,8.85,-3.61,Buy Spread,-5.4,-1.665,-6.6450000000000005
TITAN,2020-06-05,2020-06-25,2020-07-30,993.65,991.65,-2.0,4.41,2.03,9.48,-0.66,Buy Spread,-2.0,1.045,-3.0149999999999997
HDFC,2020-06-04,2020-06-25,2020-07-30,1761.95,1749.05,-12.9,8.22,5.18,21.17,-4.73,Buy Spread,-12.9,-5.130000000000001,-15.49
ITC,2020-06-04,2020-06-25,2020-07-30,199.9,195.25,-4.65,0.9,1.07,3.58,-1.78,Buy Spread,-4.65,-3.0450000000000004,-5.1850000000000005
LUPIN,2020-06-04,2020-06-25,2020-07-30,910.1,906.5,-3.6,3.22,1.79,7.7,-1.25,Buy Spread,-3.6,-0.915,-4.495
M&M,2020-06-04,2020-06-25,2020-07-30,479.4,474.65,-4.75,2.64,2.47,8.82,-3.54,Buy Spread,-4.75,-1.045,-5.985
TITAN,2020-06-04,2020-06-25,2020-07-30,972.2,970.35,-1.85,4.42,2.02,9.47,-0.63,Buy Spread,-1.85,1.1800000000000002,-2.8600000000000003
HDFC,2020-06-03,2020-06-25,2020-07-30,1835.4,1821.75,-13.65,8.25,5.11,21.02,-4.53,Buy Spread,-13.65,-5.984999999999999,-16.205000000000002
ITC,2020-06-03,2020-06-25,2020-07-30,196.5,192.3,-4.2,0.91,1.05,3.54,-1.72,Buy Spread,-4.2,-2.625,-4.7250000000000005
M&M,2020-06-03,2020-06-25,2020-07-30,484.6,479.1,-5.5,2.65,2.45,8.78,-3.48,Buy Spread,-5.5,-1.8249999999999997,-6.725
TITAN,2020-06-03,2020-06-25,2020-07-30,987.0,985.35,-1.65,4.43,2.0,9.43,-0.57,Buy Spread,-1.65,1.35,-2.65
AXISBANK,2020-06-02,2020-06-25,2020-07-30,411.9,412.05,0.15,2.91,1.05,5.54,0.29,Buy Spread,0.15,1.725,-0.375
HDFC,2020-06-02,2020-06-25,2020-07-30,1812.55,1795.65,-16.9,8.29,5.03,20.86,-4.29,Buy Spread,-16.9,-9.354999999999999,-19.415
ITC,2020-06-02,2020-06-25,2020-07-30,195.75,191.55,-4.2,0.92,1.02,3.47,-1.63,Buy Spread,-4.2,-2.67,-4.71
M&M,2020-06-02,2020-06-25,2020-07-30,463.8,457.15,-6.65,2.66,2.43,8.74,-3.42,Buy Spread,-6.65,-3.005,-7.865
TATASTEEL,2020-06-02,2020-06-25,2020-07-30,319.75,313.65,-6.1,1.51,2.99,8.99,-5.97,Buy Spread,-6.1,-1.6149999999999993,-7.595
TITAN,2020-06-02,2020-06-25,2020-07-30,977.1,973.85,-3.25,4.44,1.99,9.41,-0.53,Buy Spread,-3.25,-0.2650000000000001,-4.245
ULTRACEMCO,2020-06-02,2020-06-25,2020-07-30,3843.95,3838.35,-5.6,16.44,7.98,36.39,-3.51,Buy Spread,-5.6,6.370000000000001,-9.59
HDFC,2020-06-01,2020-06-25,2020-07-30,1733.75,1716.9,-16.85,8.34,4.91,20.62,-3.94,Buy Spread,-16.85,-9.485000000000001,-19.305
ITC,2020-06-01,2020-06-25,2020-07-30,196.7,192.65,-4.05,0.92,1.0,3.42,-1.58,Buy Spread,-4.05,-2.55,-4.55
LUPIN,2020-06-01,2020-06-25,2020-07-30,850.1,848.45,-1.65,3.25,1.75,7.62,-1.12,Buy Spread,-1.65,0.9750000000000001,-2.525
M&M,2020-06-01,2020-06-25,2020-07-30,461.6,455.4,-6.2,2.68,2.4,8.68,-3.32,Buy Spread,-6.2,-2.6000000000000005,-7.4
TITAN,2020-06-01,2020-06-25,2020-07-30,957.55,953.9,-3.65,4.45,1.96,9.35,-0.45,Buy Spread,-3.65,-0.71,-4.63
ULTRACEMCO,2020-06-01,2020-06-25,2020-07-30,3823.25,3818.7,-4.55,16.48,7.93,36.3,-3.34,Buy Spread,-4.55,7.345,-8.515
AXISBANK,2020-05-27,2020-05-28,2020-06-25,386.15,386.25,0.1,2.93,1.02,5.48,0.38,Buy Spread,0.1,1.6300000000000001,-0.41000000000000003
HINDUNILVR,2020-05-27,2020-05-28,2020-06-25,1997.7,1990.85,-6.85,6.22,4.27,16.9,-4.45,Buy Spread,-6.85,-0.4450000000000003,-8.985
ITC,2020-05-27,2020-05-28,2020-06-25,192.4,190.75,-1.65,0.94,0.97,3.36,-1.48,Buy Spread,-1.65,-0.19499999999999984,-2.135
RELIANCE,2020-05-27,2020-05-28,2020-06-25,1447.6,1446.2,-1.4,5.08,2.18,10.53,-0.37,Buy Spread,-1.4,1.8700000000000006,-2.49
SBIN,2020-05-27,2020-05-28,2020-06-25,158.8,158.8,0.0,1.29,0.44,2.39,0.19,Buy Spread,0.0,0.66,-0.22
SUNPHARMA,2020-05-27,2020-05-28,2020-06-25,452.05,450.7,-1.35,2.2,0.83,4.28,0.13,Buy Spread,-1.35,-0.1050000000000002,-1.7650000000000001
TCS,2020-05-27,2020-05-28,2020-06-25,2003.2,1992.05,-11.15,6.54,5.49,20.26,-7.19,Buy Spread,-11.15,-2.915000000000001,-13.895
BAJFINANCE,2020-05-26,2020-05-28,2020-06-25,1832.3,1831.3,-1.0,12.91,4.98,25.36,0.46,Buy Spread,-1.0,6.470000000000001,-3.49
HINDUNILVR,2020-05-26,2020-05-28,2020-06-25,1980.75,1976.35,-4.4,6.24,4.24,16.84,-4.36,Buy Spread,-4.4,1.96,-6.5200000000000005
ITC,2020-05-26,2020-05-28,2020-06-25,191.7,189.35,-2.35,0.95,0.96,3.35,-1.45,Buy Spread,-2.35,-0.9100000000000001,-2.83
RELIANCE,2020-05-26,2020-05-28,2020-06-25,1424.8,1423.5,-1.3,5.09,2.16,10.49,-0.31,Buy Spread,-1.3,1.9400000000000002,-2.38
SBIN,2020-05-26,2020-05-28,2020-06-25,151.65,151.6,-0.05,1.29,0.44,2.39,0.19,Buy Spread,-0.05,0.61,-0.27
HINDUNILVR,2020-05-22,2020-05-28,2020-06-25,1992.7,1988.1,-4.6,6.26,4.22,16.81,-4.29,Buy Spread,-4.6,1.7300000000000004,-6.709999999999999
INDIGO,2020-05-22,2020-05-28,2020-06-25,972.9,953.4,-19.5,0.36,7.39,18.83,-18.11,Buy Spread,-19.5,-8.415000000000001,-23.195
ITC,2020-05-22,2020-05-28,2020-06-25,186.8,183.25,-3.55,0.95,0.95,3.32,-1.42,Buy Spread,-3.55,-2.125,-4.0249999999999995
JUBLFOOD,2020-05-22,2020-05-28,2020-06-25,1613.4,1568.8,-44.6,-1.67,14.98,35.78,-39.12,Buy Spread,-44.6,-22.130000000000003,-52.09
KOTAKBANK,2020-05-22,2020-05-28,2020-06-25,1156.05,1151.1,-4.95,4.52,3.54,13.37,-4.33,Buy Spread,-4.95,0.3600000000000003,-6.720000000000001
RELIANCE,2020-05-22,2020-05-28,2020-06-25,1434.5,1433.25,-1.25,5.1,2.15,10.48,-0.28,Buy Spread,-1.25,1.9749999999999996,-2.325
SBIN,2020-05-22,2020-05-28,2020-06-25,150.4,150.6,0.2,1.3,0.44,2.4,0.2,Buy Spread,0.2,0.8600000000000001,-0.01999999999999999
HINDUNILVR,2020-05-21,2020-05-28,2020-06-25,1977.45,1972.1,-5.35,6.28,4.2,16.78,-4.22,Buy Spread,-5.35,0.9500000000000011,-7.449999999999999
INDIGO,2020-05-21,2020-05-28,2020-06-25,975.1,956.45,-18.65,0.4,7.35,18.77,-17.98,Buy Spread,-18.65,-7.625,-22.325
ITC,2020-05-21,2020-05-28,2020-06-25,189.5,186.05,-3.45,0.96,0.93,3.28,-1.37,Buy Spread,-3.45,-2.055,-3.915
KOTAKBANK,2020-05-21,2020-05-28,2020-06-25,1144.95,1139.25,-5.7,4.54,3.52,13.34,-4.26,Buy Spread,-5.7,-0.41999999999999993,-7.46
RELIANCE,2020-05-21,2020-05-28,2020-06-25,1443.15,1442.45,-0.7,5.11,2.13,10.43,-0.21,Buy Spread,-0.7,2.495,-1.765
HINDUNILVR,2020-05-20,2020-05-28,2020-06-25,1997.7,1993.3,-4.4,6.3,4.17,16.73,-4.13,Buy Spread,-4.4,1.8549999999999995,-6.485
INDIGO,2020-05-20,2020-05-28,2020-06-25,910.1,890.55,-19.55,0.43,7.31,18.7,-17.84,Buy Spread,-19.55,-8.585,-23.205000000000002
ITC,2020-05-20,2020-05-28,2020-06-25,175.65,173.0,-2.65,0.97,0.91,3.24,-1.3,Buy Spread,-2.65,-1.285,-3.105
KOTAKBANK,2020-05-20,2020-05-28,2020-06-25,1164.0,1158.45,-5.55,4.56,3.5,13.31,-4.19,Buy Spread,-5.55,-0.2999999999999998,-7.3
RELIANCE,2020-05-20,2020-05-28,2020-06-25,1434.9,1433.8,-1.1,5.12,2.12,10.42,-0.18,Buy Spread,-1.1,2.08,-2.16
HINDUNILVR,2020-05-19,2020-05-28,2020-06-25,1981.65,1977.2,-4.45,6.32,4.15,16.7,-4.06,Buy Spread,-4.45,1.7750000000000004,-6.525
ITC,2020-05-19,2020-05-28,2020-06-25,170.85,167.8,-3.05,0.97,0.9,3.22,-1.28,Buy Spread,-3.05,-1.6999999999999997,-3.5
JUBLFOOD,2020-05-19,2020-05-28,2020-06-25,1477.05,1431.25,-45.8,-1.47,14.76,35.43,-38.37,Buy Spread,-45.8,-23.659999999999997,-53.18
KOTAKBANK,2020-05-19,2020-05-28,2020-06-25,1129.2,1123.85,-5.35,4.58,3.47,13.26,-4.1,Buy Spread,-5.35,-0.14499999999999957,-7.085
RELIANCE,2020-05-19,2020-05-28,2020-06-25,1411.9,1410.0,-1.9,5.13,2.11,10.4,-0.14,Buy Spread,-1.9,1.2650000000000001,-2.955
AXISBANK,2020-05-18,2020-05-28,2020-06-25,359.55,360.0,0.45,2.96,1.0,5.46,0.46,Buy Spread,0.45,1.95,-0.04999999999999999
INDIGO,2020-05-18,2020-05-28,2020-06-25,883.3,865.0,-18.3,0.5,7.23,18.58,-17.58,Buy Spread,-18.3,-7.455,-21.915
ITC,2020-05-18,2020-05-28,2020-06-25,165.1,162.65,-2.45,0.98,0.89,3.2,-1.25,Buy Spread,-2.45,-1.1150000000000002,-2.895
JUBLFOOD,2020-05-18,2020-05-28,2020-06-25,1516.5,1477.45,-39.05,-1.38,14.65,35.24,-38.01,Buy Spread,-39.05,-17.074999999999996,-46.375
RELIANCE,2020-05-18,2020-05-28,2020-06-25,1444.05,1441.8,-2.25,5.15,2.09,10.38,-0.07,Buy Spread,-2.25,0.8849999999999998,-3.295
ITC,2020-05-15,2020-05-28,2020-06-25,164.9,162.65,-2.25,0.99,0.87,3.16,-1.18,Buy Spread,-2.25,-0.9450000000000001,-2.685
JUBLFOOD,2020-05-15,2020-05-28,2020-06-25,1652.7,1609.0,-43.7,-1.32,14.58,35.13,-37.77,Buy Spread,-43.7,-21.830000000000002,-50.99
