Stock_X,Stock_Y,Intercept,Slope,P-Value from ADF test,std_error_of_residuals,latest_residual,std_err_zscore
PNB,BANKBARODA,2.763425,1.465171,0.000616,6.41,-6.054868,-0.94
DRREDDY,TORNTPHARM,240.700122,0.557977597,0.000352435072,106.21,-340.28994,-3.2
BAJFINANCE,KOTAKBANK,693.194669,0.220933815,0.00248704451,62.52,-183.795488,-2.94
  
